Date,Open,Close
2005-04-18,4.5785,4.6378
2005-04-19,4.6963,4.7477
2005-04-20,4.9258,4.9139
2005-04-21,4.9714,5.0657
2005-04-22,5.5291,5.3532
2005-04-25,5.403,5.5447
2005-04-26,5.4626,5.4261
2005-04-27,5.4073,5.4517
2005-04-28,5.4447,5.4435
2005-04-29,5.5045,5.4571
2005-05-02,5.508,5.5139
2005-05-03,5.503,5.6107
2005-05-04,5.6365,5.668
2005-05-05,5.6709,5.6303
2005-05-06,5.6655,5.6561
2005-05-09,5.6556,5.6064
2005-05-10,5.5928,5.6506
2005-05-11,5.6796,5.7372
2005-05-12,5.7253,5.6734
2005-05-13,5.6848,5.6863
2005-05-16,5.6972,5.7312
2005-05-17,5.7191,5.7828
2005-05-18,5.7947,5.9324
2005-05-19,5.9617,5.9329
2005-05-20,5.9832,5.9932
2005-05-23,6.0316,6.3365
2005-05-24,6.3739,6.3501
2005-05-25,6.269,6.4694
2005-05-26,6.4731,6.4295
2005-05-27,6.4607,6.5981
2005-05-31,6.6832,6.8777
2005-06-01,7.0248,7.1439
2005-06-02,7.162,7.1414
2005-06-03,7.1138,6.9519
2005-06-06,7.0047,7.2168
2005-06-07,7.3696,7.2709
2005-06-08,7.2642,6.9345
2005-06-09,7.0625,7.1019
2005-06-10,7.1188,7.0074
2005-06-13,6.941,7.0136
2005-06-14,6.9104,6.9045
2005-06-15,6.8214,6.8164
2005-06-16,6.803,6.8819
2005-06-17,6.9206,6.9529
2005-06-20,6.8484,7.1116
2005-06-21,7.1456,7.1399
2005-06-22,7.1853,7.1761
2005-06-23,7.1439,7.1863
2005-06-24,7.2158,7.3733
2005-06-27,7.4142,7.5432
2005-06-28,7.5973,7.4911
2005-06-29,7.5035,7.2609
2005-06-30,7.3011,7.2964
2005-07-01,7.3185,7.2245
2005-07-05,7.2456,7.3351
2005-07-06,7.3745,7.2312
2005-07-07,7.1783,7.3309
2005-07-08,7.3485,7.348
2005-07-11,7.3522,7.2766
2005-07-12,7.2776,7.2376
2005-07-13,7.2557,7.4132
2005-07-14,7.574,7.4636
2005-07-15,7.4723,7.471
2005-07-18,7.4415,7.4301
2005-07-19,7.4936,7.6871
2005-07-20,7.5797,7.7392
2005-07-21,7.79,7.7873
2005-07-22,7.5995,7.5011
2005-07-25,7.5008,7.3386
2005-07-26,7.3177,7.3445
2005-07-27,7.3855,7.3654
2005-07-28,7.3773,7.2803
2005-07-29,7.2466,7.1379
2005-08-01,7.1468,7.2334
2005-08-02,7.2332,7.4214
2005-08-03,7.3919,7.3745
2005-08-04,7.3311,7.3852
2005-08-05,7.3795,7.2518
2005-08-08,7.2828,7.2245
2005-08-09,7.2421,7.2324
2005-08-10,7.2257,7.0863
2005-08-11,7.0915,7.0459
2005-08-12,7.0288,7.1865
2005-08-15,7.1885,7.0446
2005-08-16,7.0665,7.0856
2005-08-17,7.0821,7.0719
2005-08-18,6.844,6.9452
2005-08-19,6.97,6.9454
2005-08-22,6.9762,6.7968
2005-08-23,6.8502,6.935
2005-08-24,6.8851,7.0092
2005-08-25,7.0087,7.0097
2005-08-26,7.0317,7.0342
2005-08-29,7.001,7.155
2005-08-30,7.1287,7.1258
2005-08-31,7.1496,7.0942
2005-09-01,7.092,7.1005
2005-09-02,7.1069,7.155
2005-09-06,7.1687,7.1218
2005-09-07,7.0915,7.3143
2005-09-08,7.3133,7.3272
2005-09-09,7.3741,7.4189
2005-09-12,7.4849,7.6831
2005-09-13,7.6648,7.7312
2005-09-14,7.6581,7.5159
2005-09-15,7.4296,7.5065
2005-09-16,7.5412,7.4465
2005-09-19,7.4663,7.5355
2005-09-20,7.5941,7.6377
2005-09-21,7.6501,7.7367
2005-09-22,7.7268,7.7236
2005-09-23,7.764,7.8225
2005-09-26,7.9252,7.7957
2005-09-27,7.8124,7.7873
2005-09-28,7.7942,7.5904
2005-09-29,7.6072,7.6801
2005-09-30,7.7942,7.8498
2005-10-03,7.7796,7.9049
2005-10-04,7.9364,7.7144
2005-10-05,7.7563,7.7072
2005-10-06,7.7923,7.7578
2005-10-07,7.8084,7.7637
2005-10-10,7.7717,7.7057
2005-10-11,7.7047,7.5928
2005-10-12,7.5705,7.4656
2005-10-13,7.4911,7.378
2005-10-14,7.439,7.3458
2005-10-17,7.3795,7.5655
2005-10-18,7.5646,7.5229
2005-10-19,7.5407,7.6573
2005-10-20,7.6893,7.5209
2005-10-21,8.5776,8.4312
2005-10-24,8.5173,8.6483
2005-10-25,8.5771,8.6051
2005-10-26,8.5895,8.8167
2005-10-27,8.8455,8.7577
2005-10-28,8.8125,8.8844
2005-10-31,8.9358,9.231
2005-11-01,9.224,9.4105
2005-11-02,9.4681,9.418
2005-11-03,9.4857,9.5735
2005-11-04,9.6735,9.6846
2005-11-07,9.8005,9.7987
2005-11-08,9.7794,9.6715
2005-11-09,9.5914,9.4048
2005-11-10,9.3852,9.7013
2005-11-11,9.801,9.6839
2005-11-14,9.7266,9.8469
2005-11-15,9.7826,9.7434
2005-11-16,9.8278,9.8761
2005-11-17,9.9667,10.0076
2005-11-18,10.0086,9.9272
2005-11-21,9.9014,10.1542
2005-11-22,10.1366,10.3306
2005-11-23,10.3447,10.4891
2005-11-25,10.5615,10.632
2005-11-28,10.6617,10.5045
2005-11-29,10.5288,10.0098
2005-11-30,10.0277,10.0438
2005-12-01,10.1502,10.2715
2005-12-02,10.3422,10.3611
2005-12-05,10.3437,10.0671
2005-12-06,10.1378,10.0346
2005-12-07,10.0748,10.0267
2005-12-08,10.0535,10.1862
2005-12-09,10.2941,10.1502
2005-12-12,10.2849,10.2348
2005-12-13,10.2321,10.3559
2005-12-14,10.3447,10.3923
2005-12-15,10.3961,10.4814
2005-12-16,10.5506,10.6699
2005-12-19,10.7208,10.5322
2005-12-20,10.6131,10.6597
2005-12-21,10.7542,10.5751
2005-12-22,10.7101,10.7168
2005-12-23,10.7195,10.6893
2005-12-27,10.7123,10.5332
2005-12-28,10.5258,10.5841
2005-12-29,10.6161,10.4219
2005-12-30,10.3504,10.2906
2006-01-03,10.4806,10.7959
2006-01-04,11.011,11.0442
2006-01-05,11.0631,11.193
2006-01-06,11.3327,11.5507
2006-01-09,11.5693,11.5815
2006-01-10,11.52,11.6524
2006-01-11,11.6899,11.6988
2006-01-12,11.7507,11.5004
2006-01-13,11.5172,11.5654
2006-01-17,11.4862,11.5867
2006-01-18,11.0953,11.036
2006-01-19,11.1913,10.8262
2006-01-20,10.882,9.9086
