Date,Open,Close
2012-05-18,41.6839,37.8972
2012-05-21,36.212,33.7338
2012-05-22,32.3261,30.7301
2012-05-23,31.0969,31.7214
2012-05-24,32.6632,32.7425
2012-05-25,32.6136,31.6322
2012-05-29,31.206,28.5889
2012-05-30,28.4502,27.9446
2012-05-31,28.3015,29.3423
2012-06-01,28.6385,27.4787
2012-06-04,26.9632,26.6658
2012-06-05,26.4676,25.6448
2012-06-06,25.8431,26.5766
2012-06-07,26.765,26.081
2012-06-08,26.3189,26.8641
2012-06-11,26.9434,26.7749
2012-06-12,27.2408,27.1615
2012-06-13,27.4192,27.0326
2012-06-14,27.4093,28.0437
2012-06-15,28.2618,29.7488
2012-06-18,29.6992,31.1366
2012-06-19,31.2654,31.6322
2012-06-20,31.6421,31.3249
2012-06-21,31.3943,31.5628
2012-06-22,32.1279,32.7623
2012-06-25,32.5739,31.7809
2012-06-26,32.4054,32.8119
2012-06-27,32.1774,31.9494
2012-06-28,31.6818,31.087
2012-06-29,31.6421,30.8293
2012-07-02,30.978,30.5021
2012-07-03,30.6409,30.9284
2012-07-05,31.0474,31.1961
2012-07-06,31.1663,31.4538
2012-07-09,31.8206,31.89
2012-07-10,32.1477,31.1961
2012-07-11,31.206,30.7004
2012-07-12,30.4328,30.5418
2012-07-13,30.7698,30.4526
2012-07-16,30.2345,28.0041
2012-07-17,28.2321,27.8455
2012-07-18,28.0636,28.8566
2012-07-19,29.154,28.7476
2012-07-20,28.7476,28.5096
2012-07-23,27.8752,28.4997
2012-07-24,28.5691,28.2023
2012-07-25,28.1429,29.0846
2012-07-26,27.5084,26.6163
2012-07-27,22.9881,23.5036
2012-07-30,23.7911,22.9485
2012-07-31,23.1666,21.521
2012-08-01,21.3128,20.6982
2012-08-02,20.5892,19.8655
2012-08-03,20.1828,20.9064
2012-08-06,21.2038,21.7292
2012-08-07,22.0067,20.5396
2012-08-08,20.5297,20.5396
2012-08-09,20.5694,20.8271
2012-08-10,21.2236,21.6201
2012-08-13,21.9572,21.412
2012-08-14,21.2236,20.2026
2012-08-15,20.4603,21.0155
2012-08-16,20.2621,19.697
2012-08-17,19.8358,18.8842
2012-08-20,18.8842,19.8358
2012-08-21,19.4096,18.9932
2012-08-22,19.1915,19.2708
2012-08-23,19.3303,19.2708
2012-08-24,19.3501,19.241
2012-08-27,19.3203,18.9833
2012-08-28,18.9337,19.1716
2012-08-29,19.1518,18.9337
2012-08-30,19.1023,18.9238
2012-08-31,18.5174,17.9028
2012-09-04,17.9226,17.5757
2012-09-05,18.111,18.4183
2012-09-06,18.5769,18.795
2012-09-07,18.9337,18.8148
2012-09-10,18.8941,18.6463
2012-09-11,18.7553,19.2609
2012-09-12,20.5793,20.7478
2012-09-13,20.7775,20.5297
2012-09-14,20.9461,21.8085
2012-09-17,22.4727,21.3327
2012-09-18,21.412,21.6796
2012-09-19,21.7986,23.0873
2012-09-20,22.8196,22.3934
2012-09-21,22.77,22.661
2012-09-24,21.5904,20.609
2012-09-25,21.0155,20.1035
2012-09-26,19.9746,20.4405
2012-09-27,20.8073,20.1431
2012-09-28,20.3909,21.4714
2012-10-01,21.8878,21.7986
2012-10-02,21.8878,22.0761
2012-10-03,22.1059,21.64
2012-10-04,22.1257,21.7589
2012-10-05,21.3029,20.728
2012-10-08,20.2224,20.2224
2012-10-09,20.2125,20.0539
2012-10-10,19.7565,19.469
2012-10-11,19.7069,19.5781
2012-10-12,19.5781,19.3501
2012-10-15,19.5087,19.3501
2012-10-16,19.5087,19.3104
2012-10-17,19.3303,19.7069
2012-10-18,19.5285,18.8148
2012-10-19,18.8346,18.8346
2012-10-22,19.0329,19.1518
2012-10-23,19.0824,19.3302
2012-10-24,23.9199,23.0278
2012-10-25,23.0873,22.3636
2012-10-26,22.205,21.749
2012-10-31,20.6388,20.9262
2012-11-01,20.8965,21.0254
2012-11-02,21.0749,20.9956
2012-11-05,20.9163,21.065
2012-11-06,21.0551,20.9857
2012-11-07,20.6685,20.2918
2012-11-08,20.3414,19.816
2012-11-09,19.7862,19.0428
2012-11-12,18.9833,19.8953
2012-11-13,19.4393,19.6871
